skill_id,skills,count,title
164,Cell Biology,5,Data Scientist at Cond Nast
165,Data Analysis,5,Data Scientist at Cond Nast
166,Research,7,Data Scientist at Cond Nast
167,Python,4,Data Scientist at Cond Nast
168,R,4,Data Scientist at Cond Nast
169,Matlab,6,Data Scientist at Cond Nast
170,Mathematica,1,Data Scientist at Cond Nast
171,Linux,1,Data Scientist at Cond Nast
172,Bash,1,Data Scientist at Cond Nast
173,Microsoft Office,4,Data Scientist at Cond Nast
174,Microsoft Excel,1,Data Scientist at Cond Nast
175,Microsoft Word,1,Data Scientist at Cond Nast
176,PowerPoint,1,Data Scientist at Cond Nast
177,Leadership,0,Data Scientist at Cond Nast
178,Biophysics,4,Data Scientist at Cond Nast
179,Population Genetics,0,Data Scientist at Cond Nast
180,Machine Learning,10,Data Scientist @ Uber
181,Predictive Analytics,5,Data Scientist @ Uber
182,Simulations,6,Data Scientist @ Uber
183,Programming,12,Data Scientist @ Uber
184,Research,11,Data Scientist @ Uber
185,Microsoft Office,24,Data Scientist @ Uber
186,Photoshop,7,Data Scientist @ Uber
187,PowerPoint,8,Data Scientist @ Uber
188,HTML,6,Data Scientist @ Uber
189,Matlab,5,Data Scientist @ Uber
190,Adobe Photoshop,4,Data Scientist @ Uber
191,SQL,4,Data Scientist @ Uber
192,R,4,Data Scientist @ Uber
193,Teamwork,11,Data Scientist @ Uber
194,Data Analytics,1,Data Scientist @ Uber
195,Data Analysis,22,Data Scientist @ Bloomberg || Columbia University
196,Machine Learning,6,Data Scientist @ Bloomberg || Columbia University
197,Python,7,Data Scientist @ Bloomberg || Columbia University
198,Programming,6,Data Scientist @ Bloomberg || Columbia University
199,Object-Oriented Programming (OOP),0,Data Scientist @ Bloomberg || Columbia University
200,Algorithms,1,Data Scientist @ Bloomberg || Columbia University
201,Software Development,0,Data Scientist @ Bloomberg || Columbia University
202,Data Visualization,0,Data Scientist @ Bloomberg || Columbia University
203,Computer Science,0,Data Scientist @ Bloomberg || Columbia University
204,Statistics,0,Data Scientist @ Bloomberg || Columbia University
205,Entrepreneurship,1,Data Scientist @ Bloomberg || Columbia University
206,SQL,7,Data Scientist @ Bloomberg || Columbia University
207,HTML,4,Data Scientist @ Bloomberg || Columbia University
208,Cascading Style Sheets (CSS),0,Data Scientist @ Bloomberg || Columbia University
209,PHP,1,Data Scientist @ Bloomberg || Columbia University
210,R,5,Data Scientist @ Bloomberg || Columbia University
211,Tableau,0,Data Scientist @ Bloomberg || Columbia University
212,keras,0,Data Scientist @ Bloomberg || Columbia University
213,Git,0,Data Scientist @ Bloomberg || Columbia University
214,C,10,Data Scientist @ Bloomberg || Columbia University
215,C++,2,Data Scientist @ Bloomberg || Columbia University
216,Java,6,Data Scientist @ Bloomberg || Columbia University
217,Microsoft Office,10,Data Scientist @ Bloomberg || Columbia University
218,Microsoft Excel,3,Data Scientist @ Bloomberg || Columbia University
219,Hadoop,0,Data Scientist @ Bloomberg || Columbia University
220,PySpark,0,Data Scientist @ Bloomberg || Columbia University
221,D3.js,4,Data Scientist @ Bloomberg || Columbia University
222,Shiny,1,Data Scientist @ Bloomberg || Columbia University
223,Pandas,0,Data Scientist @ Bloomberg || Columbia University
224,ggplot2,0,Data Scientist @ Bloomberg || Columbia University
225,Unix/Linux,0,Data Scientist @ Bloomberg || Columbia University
226,Teamwork,8,Data Scientist @ Bloomberg || Columbia University
227,Public Speaking,4,Data Scientist @ Bloomberg || Columbia University
228,Regression,0,Data Scientist @ Bloomberg || Columbia University
229,Data Science,4,Data Scientist @ Bloomberg || Columbia University
230,Text mining,4,Data Scientist @ Bloomberg || Columbia University
231,RapidMiner,0,Data Scientist @ Bloomberg || Columbia University
232,H20,0,Data Scientist @ Bloomberg || Columbia University
233,Natural Language Processing,0,Data Scientist @ Bloomberg || Columbia University
234,Deep Learning,0,Data Scientist @ Bloomberg || Columbia University
235,Neural Networks,0,Data Scientist @ Bloomberg || Columbia University
236,NumPy,0,Data Scientist @ Bloomberg || Columbia University
237,Apache Spark,0,Data Scientist @ Bloomberg || Columbia University
238,CartoDB,0,Data Scientist @ Bloomberg || Columbia University
239,Scikit-Learn,0,Data Scientist @ Bloomberg || Columbia University
240,Clustering,0,Data Scientist @ Bloomberg || Columbia University
241,Probability,0,Data Scientist @ Bloomberg || Columbia University
242,Exploratory Data Analysis,0,Data Scientist @ Bloomberg || Columbia University
243,Hive,0,Data Scientist @ Bloomberg || Columbia University
244,Python,0,Senior Data Scientist at J.P. Morgan
245,Statistical Modeling,7,Senior Data Scientist at J.P. Morgan
246,R,7,Senior Data Scientist at J.P. Morgan
