"","Headline","Skills","Linkedin"
"321","Data Scientist at AllianceBernstein","Structured Finance",3
"322","Data Scientist at AllianceBernstein","Analytical Skills",3
"323","Data Scientist at AllianceBernstein","Trading",2
"324","Data Scientist at AllianceBernstein","Mathematics",1
"330","Data Scientist at AllianceBernstein","VBA",9
"331","Data Scientist at AllianceBernstein","Microsoft Office",5
"332","Data Scientist at AllianceBernstein","PowerPoint",4
"333","Data Scientist at AllianceBernstein","Microsoft Excel",4
"334","Data Scientist at AllianceBernstein","Excel",2
"335","Data Scientist at AllianceBernstein","Word",1
"336","Data Scientist at AllianceBernstein","Visual Basic for Applications (VBA)",1
"341","Data Scientist at AllianceBernstein","Credit Derivatives",16
"342","Data Scientist at AllianceBernstein","CDS",11
"343","Data Scientist at AllianceBernstein","Interest Rate Swaps",6
"344","Data Scientist at AllianceBernstein","Fixed Income Analysis",6
"345","Data Scientist at AllianceBernstein","Interest Rate Derivatives",4
"346","Data Scientist at AllianceBernstein","Credit Default Swap (CDS)",2
"354","Data Scientist at Amazon","Geography",1
"382","Data Analyst at Apple","Data Analysis",8
"383","Data Analyst at Apple","Python",7
"384","Data Analyst at Apple","PL/SQL",6
"385","Data Analyst at Apple","Project Management",1
"386","Data Analyst at Apple","Statistical Data Analysis",3
"387","Data Analyst at Apple","Enterprise Resource Planning (ERP)",1
"388","Data Analyst at Apple","Relational Databases",1
"389","Data Analyst at Apple","Microsoft Access",1
"390","Data Analyst at Apple","C",1
"391","Data Analyst at Apple","C++",1
"392","Data Analyst at Apple","Java",1
"393","Data Analyst at Apple","SPSS",1
"394","Data Analyst at Apple","HR Analytics",1
"396","Data Scientist at Conde Nast • MS in Data Science, Columbia University • IIIT-H Alumnus • Marathoner","Python",31
"397","Data Scientist at Conde Nast • MS in Data Science, Columbia University • IIIT-H Alumnus • Marathoner","MySQL",20
"398","Data Scientist at Conde Nast • MS in Data Science, Columbia University • IIIT-H Alumnus • Marathoner","Data Structures",16
"399","Data Scientist at Conde Nast • MS in Data Science, Columbia University • IIIT-H Alumnus • Marathoner","Computer Science",10
"400","Data Scientist at Conde Nast • MS in Data Science, Columbia University • IIIT-H Alumnus • Marathoner","Programming",8
"401","Data Scientist at Conde Nast • MS in Data Science, Columbia University • IIIT-H Alumnus • Marathoner","Machine Learning",9
"402","Data Scientist at Conde Nast • MS in Data Science, Columbia University • IIIT-H Alumnus • Marathoner","Algorithms",11
"403","Data Scientist at Conde Nast • MS in Data Science, Columbia University • IIIT-H Alumnus • Marathoner","Computer Vision",3
"404","Data Scientist at Conde Nast • MS in Data Science, Columbia University • IIIT-H Alumnus • Marathoner","Data Mining",1
"407","Data Scientist at Conde Nast • MS in Data Science, Columbia University • IIIT-H Alumnus • Marathoner","Data Analysis",1
"408","Data Scientist at Conde Nast • MS in Data Science, Columbia University • IIIT-H Alumnus • Marathoner","Statistical Data Analysis",1
"409","Data Scientist at Conde Nast • MS in Data Science, Columbia University • IIIT-H Alumnus • Marathoner","Matlab",5
"410","Data Scientist at Conde Nast • MS in Data Science, Columbia University • IIIT-H Alumnus • Marathoner","Git",5
"411","Data Scientist at Conde Nast • MS in Data Science, Columbia University • IIIT-H Alumnus • Marathoner","C",17
"412","Data Scientist at Conde Nast • MS in Data Science, Columbia University • IIIT-H Alumnus • Marathoner","C++",15
"413","Data Scientist at Conde Nast • MS in Data Science, Columbia University • IIIT-H Alumnus • Marathoner","D3.js",2
"414","Data Scientist at Conde Nast • MS in Data Science, Columbia University • IIIT-H Alumnus • Marathoner","JavaScript",6
"415","Data Scientist at Conde Nast • MS in Data Science, Columbia University • IIIT-H Alumnus • Marathoner","PHP",6
"416","Data Scientist at Conde Nast • MS in Data Science, Columbia University • IIIT-H Alumnus • Marathoner","HTML",9
"417","Data Scientist at Conde Nast • MS in Data Science, Columbia University • IIIT-H Alumnus • Marathoner","SQL",6
"418","Data Scientist at Conde Nast • MS in Data Science, Columbia University • IIIT-H Alumnus • Marathoner","CSS",5
"419","Data Scientist at Conde Nast • MS in Data Science, Columbia University • IIIT-H Alumnus • Marathoner","jQuery",5
"420","Data Scientist at Conde Nast • MS in Data Science, Columbia University • IIIT-H Alumnus • Marathoner","OpenGL",4
"421","Data Scientist at Conde Nast • MS in Data Science, Columbia University • IIIT-H Alumnus • Marathoner","Databases",4
"422","Data Scientist at Conde Nast • MS in Data Science, Columbia University • IIIT-H Alumnus • Marathoner","Cascading Style Sheets (CSS)",3
"425","Data Scientist at Conde Nast • MS in Data Science, Columbia University • IIIT-H Alumnus • Marathoner","LaTeX",3
"427","Data Scientist at Conde Nast • MS in Data Science, Columbia University • IIIT-H Alumnus • Marathoner","PySpark",1
"428","Data Scientist at Conde Nast • MS in Data Science, Columbia University • IIIT-H Alumnus • Marathoner","R",1
"432","Data Scientist at Conde Nast • MS in Data Science, Columbia University • IIIT-H Alumnus • Marathoner","git",1
"434","Data Scientist at Conde Nast • MS in Data Science, Columbia University • IIIT-H Alumnus • Marathoner","Data Science",5
"435","Data Scientist at Conde Nast • MS in Data Science, Columbia University • IIIT-H Alumnus • Marathoner","NumPy",4
"436","Data Scientist at Conde Nast • MS in Data Science, Columbia University • IIIT-H Alumnus • Marathoner","ENVI",2
"437","Data Scientist at Conde Nast • MS in Data Science, Columbia University • IIIT-H Alumnus • Marathoner","SciPy",2
"441","Data Scientist at Lyft","R",12
"442","Data Scientist at Lyft","SPSS",7
"443","Data Scientist at Lyft","Data Analysis",17
"444","Data Scientist at Lyft","Data Mining",6
"445","Data Scientist at Lyft","Statistical Modeling",8
"446","Data Scientist at Lyft","Statistics",6
"447","Data Scientist at Lyft","Data Visualization",1
"449","Data Scientist at Lyft","SQL",15
"450","Data Scientist at Lyft","Microsoft Excel",5
"451","Data Scientist at Lyft","Matlab",3
"452","Data Scientist at Lyft","VBA",1
"453","Data Scientist at Lyft","Tableau",1
"455","Data Scientist at Lyft","Python",1
"456","Data Scientist at Lyft","Predictive Analytics",5
"457","Data Scientist at Lyft","Behavioral Analytics",4
"458","Data Scientist at Lyft","Text Analytics",1
"461","Data Scientist at Lyft","Data Science",1
"462","Data Scientist at Amazon","SQL",22
"463","Data Scientist at Amazon","Java",19
"464","Data Scientist at Amazon","Software Development",10
"465","Data Scientist at Amazon","Data Analysis",8
"466","Data Scientist at Amazon","Business Analysis",8
"467","Data Scientist at Amazon","Machine Learning",2
"468","Data Scientist at Amazon","Agile Methodologies",5
"469","Data Scientist at Amazon","Writing",1
"470","Data Scientist at Amazon","SDLC",2
"471","Data Scientist at Amazon","R",14
"472","Data Scientist at Amazon","Python",7
"473","Data Scientist at Amazon","Hadoop",4
"474","Data Scientist at Amazon","MapReduce",3
"475","Data Scientist at Amazon","JavaScript",2
"476","Data Scientist at Amazon","Tableau",3
"477","Data Scientist at Amazon","SAS",3
"478","Data Scientist at Amazon","VBA",4
"479","Data Scientist at Amazon","D3.js",1
"480","Data Scientist at Amazon","Microsoft Excel",2
"481","Data Scientist at Amazon","Microsoft Office",2
"482","Data Scientist at Amazon","Unix",2
"483","Data Scientist at Amazon","A/B Testing",1
"484","Data Scientist at Amazon","Social Network Analysis",1
"485","Data Scientist at Amazon","Text Analytics",1
